id,name,address,latitude,longitude,category,tags,description,distance_from_jiyugaoka_station_m,walk_minutes_from_jiyugaoka_station
curated-crossing,クロッシング コーヒーロースターズ,東京都目黒区自由が丘1-14-1 Gタワー 1F,35.6096875,139.6701875,both,roastery|specialty|morning|quiet,焙煎文脈が強く、豆も見たいときに寄せやすいロースター系候補です。,251,4
curated-la-boheme,カフェ ラ・ボエム 自由が丘,東京都目黒区自由が丘1-4-8 1F・2F,35.6083125,139.6709375,coffee_shop,spacious|atmosphere|sweet|morning,席数と入りやすさがあり、会話や軽い滞在の受け皿になりやすい大型店です。,206,3
curated-the-jiyugaoka,the;自由が丘,東京都目黒区緑が丘2-17-12 T'S BRIGHTIA自由が丘 102号,35.6085625,139.6723125,coffee_shop,atmosphere|cozy|quiet|specialty,ペット同伴でスペシャルティコーヒーが味わえるカフェ＆バーラウンジ。,333,5
curated-slow-stand,Slow Standard Coffee,東京都世田谷区奥沢2-46-6 自由が丘apartment 102,35.6075625,139.6759375,coffee_stand,morning|specialty|cozy|quiet,奥沢2丁目で落ち着いて過ごしやすく、焙煎や豆販売の文脈でも拾えるニーズにもおすすめのスペシャルティ候補です。,649,9
curated-cafe-skoll,Cafe Skoll,東京都目黒区自由が丘1-9-6 オハナビル 2F,35.6073125,139.6691875,coffee_shop,study|quiet|cozy|atmosphere,自由が丘中心から少し南にあり、食事やスイーツと一緒にゆっくり過ごしやすいカフェ寄りの候補です。,62,1
curated-ebony,EBONY COFFEE,東京都世田谷区奥沢6-28-4 ワイズニール自由ヶ丘 1F,35.6053125,139.6640625,bean_store,specialty|roastery|beans_only,店内提供やテイクアウトを行わない、焙煎豆専門のロースターです。,504,7
curated-stamp,STAMP COFFEE / スタンプコーヒー,東京都世田谷区奥沢5-31-20,35.6046875,139.6678125,coffee_stand,specialty|morning|cozy|atmosphere,ハンドドリップのコーヒーと、シンプルなトーストメニューをいただけます。,351,5
curated-miyachi-shoten,ミヤチ商店,東京都世田谷区奥沢5-1-4,35.6036875,139.6711875,coffee_stand,coffee_stand|morning|cozy|quiet|specialty,奥沢5丁目の小さなコーヒースタンドで、朝の一杯や短時間の立ち寄りにおすすめです。,502,7
curated-utakata,UTAKATA COFFEE,東京都世田谷区奥沢5-14-31 クレインI 101,35.604906024507784,139.6715276097942,coffee_shop,atmosphere|cozy|quiet|specialty,奥沢南東側で、雰囲気重視や静かな時間に寄せやすいコーヒー候補です。,503,7
curated-enseigne-angle,カフェ・アンセーニュ・ダングル 自由が丘店,東京都目黒区自由が丘1-13-6 鳥井ビル1F,35.6080411,139.6702441,coffee_shop,quiet|cozy|specialty|atmosphere,クラシカルな喫茶店文脈が強く、静かな会話や落ち着いた一杯を重視したいときに向きます。,138,2
curated-mamocafe,Specialtycoffee&Food mamocafe,東京都目黒区緑が丘2-4-5,35.6081,139.6788,coffee_shop,specialty|cozy|quiet|sweet,小さめの落ち着いた空気感で、スペシャルティ寄りの一杯を取りたいときの候補です。,908,12
curated-latte-graphic,LATTE GRAPHIC 自由が丘店,東京都目黒区自由が丘1-8-18 自由が丘ノーブル 2F,35.6069375,139.6688125,coffee_shop,spacious|study|morning|atmosphere,比較的入りやすく、会話や軽い作業の受け皿にもなりやすい大型寄りの候補です。,90,2
curated-cafe-mozart,カフェ モーツァルト 自由が丘店,東京都目黒区自由が丘1-8-2 サウスゲートビル 2F,35.6082,139.6752,coffee_shop,cozy|sweet|atmosphere|quiet,コーヒーとケーキのセット需要が強く、喫茶店ベクトルでゆっくり過ごしたいときに向く候補です。,584,8
curated-usubane,usubane,東京都目黒区自由が丘2-12-19 B1,35.6071875,139.6674375,coffee_shop,quiet|cozy|atmosphere|specialty,自由が丘西側で、雰囲気と静かな時間を重視したいときにおすすめです。,135,2
curated-royal-crystal,ロイヤルクリスタルコーヒー,東京都目黒区自由が丘2-16-3,35.6084375,139.6670625,coffee_shop,quiet|cozy|atmosphere|sweet,落ち着いてゆっくり飲む方向に寄せやすい、クラシック寄りのコーヒー候補です。,172,3
curated-stillpark,STILLPARK,東京都世田谷区奥沢4-5-4,35.5999375,139.6689375,coffee_shop,cozy|quiet|atmosphere|morning,奥沢4丁目の小さめのコーヒーショップで、静かな時間を取りたいときにおすすめです。,868,11
curated-relief-coffee-stand,Relief coffee stand,東京都世田谷区奥沢4-4-7 スカイハイツ奥沢 1F,35.5998125,139.6698125,coffee_stand,morning|specialty|cozy|quiet,奥沢4丁目の小さなコーヒースタンドで、朝の一杯や短時間利用におすすめです。,887,12
curated-la-cialda,La Cialda -自由が丘カフェ-,東京都目黒区自由が丘1-25-9 1F,35.6095625,139.6688125,coffee_shop,cozy|atmosphere|sweet|morning,自由が丘1丁目で入りやすく、軽食や一杯を気軽に取りたいときにおすすめです。,202,3
curated-chilt,CHILT CAFESTAND & CRAFT,東京都世田谷区奥沢7-6-10,35.6075625,139.6646875,coffee_shop,atmosphere|cozy|quiet|specialty,九品仏から奥沢寄りの南側で、雰囲気重視や一人時間におすすめです。,369,5
curated-radio-plant,ラジオプラント,東京都世田谷区奥沢7-7-21 Casa Abierta 1階,35.6064375,139.6650625,coffee_shop,quiet|cozy|atmosphere|sweet,静かなジャズが流れる店内で、長居したくなるような居心地のよさがある喫茶寄りの候補です。,365,5
curated-alpha-beta-2,"アルファベータコーヒークラブ
自由が丘コンコード店",東京都目黒区自由が丘 2-9-24 自由が丘コンコード 1F,35.6096406,139.6681489,coffee_shop,study|specialty|atmosphere|quiet,ハンドドリップと充実の軽食が魅力です。開放感ある店内のソファ席や、ペット可のテラスで会話を楽しみたい時に最適。,256,4
